Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB
1985,AL,Don Mattingly,NYY,6.5,0.314,0.367,0.52,19,84,32
1985,NL,Willie McGee,STL,8.2,0.318,0.371,0.517,27,102,0
1984,AL,Willie Hernández,DET,4.8,0.302,0.393,0.54,36,121,30
1984,NL,Ryne Sandberg,CHC,8.5,0.331,0.379,0.578,29,114,14
1983,AL,Cal Ripken Jr.,BAL,8.2,0.281,0.378,0.507,36,109,23
1983,NL,Dale Murphy,ATL,7.1,0.316,0.435,0.644,31,91,12
1982,AL,Robin Yount,MIL,10.5,0.39,0.454,0.664,24,118,15
1982,NL,Dale Murphy,ATL,6.1,0.286,0.38,0.624,48,121,12
1981,AL,Rollie Fingers,MIL,4.2,0.296,0.371,0.53,36,139,22
1981,NL,Mike Schmidt,PHI,7.7,0.344,0.417,0.513,11,105,11
1980,AL,George Brett,KCR,9.4,0.281,0.352,0.552,32,82,0
1980,NL,Mike Schmidt,PHI,8.9,0.315,0.37,0.6,46,139,7
1979,AL,Don Baylor,CAL,3.7,0.334,0.394,0.585,30,117,20
1979,NL,Keith Hernandez,STL,7.6,0.388,0.449,0.57,14,100,23
1979,NL,Willie Stargell,PIT,2.5,0.32,0.382,0.631,52,149,6
1978,AL,Jim Rice,BOS,7.6,0.302,0.337,0.432,17,105,14
1978,NL,Dave Parker,PIT,7,0.32,0.444,0.576,27,111,60
1977,AL,Rod Carew,MIN,9.7,0.331,0.401,0.566,21,105,10
1977,NL,George Foster,CIN,8.4,0.327,0.466,0.508,17,94,67
1976,AL,Thurman Munson,NYY,5.3,0.301,0.397,0.504,25,118,2
1976,NL,Joe Morgan,CIN,9.6,0.312,0.342,0.469,21,111,5
1975,AL,Fred Lynn,BOS,7.4,0.293,0.383,0.531,32,117,22
1975,NL,Joe Morgan,CIN,11,0.338,0.401,0.437,5,64,10
1974,AL,Jeff Burroughs,TEX,3.6,0.308,0.42,0.603,37,113,19
1974,NL,Steve Garvey,LAD,4.4,0.27,0.379,0.541,40,125,6
1973,AL,Reggie Jackson,OAK,7.8,0.118,0.167,0.127,0,2,0
1973,NL,Pete Rose,CIN,8.3,0.363,0.421,0.555,24,137,4
1972,AL,Dick Allen,CHW,8.6,0.297,0.412,0.549,35,114,1
1972,NL,Johnny Bench,CIN,8.6,0.293,0.345,0.587,45,148,5
1971,AL,Vida Blue,OAK,8.5,0.276,0.427,0.584,49,140,8
1971,NL,Joe Torre,STL,5.9,0.32,0.453,0.656,45,126,0
1970,AL,Boog Powell,BAL,5.1,0.162,0.17,0.189,0,4,0
1970,NL,Johnny Bench,CIN,7.4,0.17,0.233,0.223,0,6,1
1969,AL,Harmon Killebrew,MIN,6.2,0.326,0.418,0.622,44,121,10
1969,NL,Willie McCovey,SFG,8.1,0.325,0.399,0.524,25,111,11
1968,AL,Denny McLain,DET,7.4,0.316,0.41,0.637,49,122,8
1968,NL,Bob Gibson,STL,11.9,0.317,0.36,0.536,29,119,7
1967,AL,Carl Yastrzemski,BOS,12.4,0.273,0.319,0.462,19,77,27
1967,NL,Orlando Cepeda,STL,6.8,0.317,0.398,0.645,52,112,9
1966,AL,Frank Robinson,BAL,7.7,0.317,0.368,0.521,28,118,1
1966,NL,Roberto Clemente,PIT,8.2,0.295,0.365,0.489,24,119,3
1965,AL,Zoilo Versalles,MIN,7.2,0.287,0.342,0.528,28,85,0
1965,NL,Willie Mays,SFG,11.2,0.064,0.111,0.091,1,7,0
1964,AL,Brooks Robinson,BAL,8.1,0.321,0.486,0.605,30,89,9
1964,NL,Ken Boyer,STL,6.1,0.299,0.347,0.373,6,48,104
1963,AL,Elston Howard,NYY,5.2,0.269,0.372,0.62,61,141,0
1963,NL,Sandy Koufax,LAD,9.9,0.323,0.404,0.611,37,124,22
1962,AL,Mickey Mantle,NYY,6,0.283,0.371,0.581,39,112,2
1962,NL,Maury Wills,LAD,6,0.325,0.371,0.394,2,50,0
1961,AL,Roger Maris,NYY,6.9,0.306,0.38,0.389,2,70,5
1961,NL,Frank Robinson,CIN,7.7,0.304,0.374,0.596,45,143,2
1960,AL,Roger Maris,NYY,7.5,0.286,0.396,0.535,35,122,9
1960,NL,Dick Groat,PIT,6.1,0.313,0.366,0.614,47,129,4
1959,AL,Nellie Fox,CHW,6,0.365,0.512,0.665,34,94,16
1959,NL,Ernie Banks,CHC,10.2,0.322,0.378,0.6,44,132,1
1958,AL,Jackie Jensen,BOS,4.9,0.353,0.464,0.705,52,130,10
1958,NL,Ernie Banks,CHC,9.3,0.234,0.312,0.342,2,16,1
1957,AL,Mickey Mantle,NYY,11.3,0.272,0.349,0.47,27,108,1
1957,NL,Henry Aaron,MLN,8,0.318,0.395,0.583,32,107,2
1956,AL,Mickey Mantle,NYY,11.3,0.307,0.367,0.488,22,125,0
1956,NL,Don Newcombe,BRO,5.3,0.345,0.411,0.667,41,110,8
1955,AL,Yogi Berra,NYY,4.5,0.336,0.422,0.613,43,145,8
1955,NL,Roy Campanella,BRO,5.2,0.312,0.395,0.611,41,142,4
1954,AL,Yogi Berra,NYY,5.3,0.198,0.252,0.26,0,12,0
1954,NL,Willie Mays,NYG,10.4,0.27,0.361,0.531,37,121,1
1953,AL,Al Rosen,CLE,10.1,0.294,0.35,0.492,27,88,5
1953,NL,Roy Campanella,BRO,6.8,0.325,0.393,0.59,33,108,1
1952,AL,Bobby Shantz,PHA,9.4,0.324,0.418,0.439,7,66,12
1952,NL,Hank Sauer,CHC,5.6,0.108,0.108,0.108,0,3,0
1951,AL,Yogi Berra,NYY,5.3,0.343,0.49,0.65,43,159,1
1951,NL,Roy Campanella,BRO,6.9,0.342,0.432,0.528,16,124,37
1950,AL,Phil Rizzuto,NYY,6.8,0.355,0.453,0.534,18,106,3
1950,NL,Jim Konstanty,PHI,4.4,0.376,0.45,0.702,39,131,7
1949,AL,Ted Williams,BOS,9,0.315,0.391,0.522,20,97,3
1949,NL,Jackie Robinson,BRO,9.3,0.317,0.41,0.517,22,113,3
1948,AL,Lou Boudreau,CLE,10.4,0.342,0.497,0.667,38,123,0
1948,NL,Stan Musial,STL,11.3,0.365,0.434,0.587,16,103,7
1947,AL,Joe DiMaggio,NYY,4.7,0.257,0.302,0.321,0,17,0
1947,NL,Bob Elliott,BSN,6.5,0.355,0.449,0.5,6,97,5
1946,AL,Ted Williams,BOS,10.6,0.242,0.278,0.275,0,5,1
1946,NL,Stan Musial,STL,9.3,0.267,0.324,0.362,6,63,1
1945,AL,Hal Newhouser,DET,12.2,0.258,0.287,0.371,2,7,0
1945,NL,Phil Cavarretta,CHC,6,0.357,0.425,0.562,13,81,9
1944,AL,Hal Newhouser,DET,8.4,0.322,0.409,0.491,18,103,12
1944,NL,Marty Marion,STL,4.5,0.184,0.208,0.194,0,7,0
1943,AL,Spud Chandler,NYY,7.3,0.357,0.44,0.643,30,125,4
1943,NL,Stan Musial,STL,9.5,0.285,0.407,0.556,34,120,3
1942,AL,Joe Gordon,NYY,7.7,0.34,0.433,0.67,41,150,6
1942,NL,Mort Cooper,STL,8.3,0.309,0.367,0.482,19,127,2
1941,AL,Joe DiMaggio,NYY,9.3,0.381,0.448,0.671,30,126,3
1941,NL,Dolph Camilli,BRO,6.9,0.325,0.357,0.433,1,16,1
1940,AL,Hank Greenberg,DET,6.8,0.349,0.462,0.704,50,175,5
1940,NL,Frank McCormick,CIN,5.3,0.342,0.391,0.524,19,95,0
1939,AL,Joe DiMaggio,NYY,8.3,0.371,0.458,0.52,14,96,11
1939,NL,Bucky Walters,CIN,9.8,0.374,0.414,0.641,31,154,4
1938,AL,Jimmie Foxx,BOS,7.4,0.354,0.478,0.696,49,152,3
1938,NL,Ernie Lombardi,CIN,4.8,0.227,0.248,0.236,0,8,0
1937,AL,Charlie Gehringer,DET,7.9,0.328,0.411,0.628,36,168,4
1937,NL,Joe Medwick,STL,8.4,0.344,0.404,0.545,13,91,1
1936,AL,Lou Gehrig,NYY,9.7,0.32,0.428,0.412,2,75,8
1936,NL,Carl Hubbell,NYG,10.1,0.246,0.252,0.339,2,9,1
1935,AL,Hank Greenberg,DET,7.5,0.356,0.449,0.703,48,163,2
1935,NL,Gabby Hartnett,CHC,4.9,0.183,0.198,0.248,1,12,0
1934,AL,Mickey Cochrane,DET,4.5,0.364,0.469,0.749,58,169,3
1934,NL,Dizzy Dean,STL,9.5,0.348,0.404,0.646,38,137,20
1933,AL,Jimmie Foxx,PHA,9,0.2,0.22,0.226,0,12,0
1933,NL,Carl Hubbell,NYG,9,0.311,0.368,0.396,4,82,28
1932,AL,Jimmie Foxx,PHA,10.4,0.346,0.422,0.513,13,126,17
1932,NL,Chuck Klein,PHI,7.5,0.356,0.454,0.723,56,191,3
